listing_id,car_brand_id,car_brand,car_model_id,car_year,car_variant_id,car_engine,car_transmission_id,auction_date,reserve_price
1789861,Brand 124,Perodua,Model 1946,2015,Variant 11560,1.5,2,23/04/2021,35000
1789905,Brand 129,Proton,Model 2057,2015,Variant 12603,1.6,2,23/04/2021,100
1789909,Brand 121,Nissan,Model 1842,2008,Variant 10746,1.6,2,23/04/2021,6000
1789911,Brand 121,Nissan,Model 1882,2008,Variant 11085,2,2,23/04/2021,8000
1789936,Brand 102,Mazda,Model 1296,2010,Variant 6981,3.7,2,23/04/2021,26000
1789938,Brand 121,Nissan,Model 1828,2009,Variant 10646,1.8,2,23/04/2021,18500
1790011,Brand 126,Peugeot,Model 2004,2012,Variant 12314,1.6,2,23/04/2021,5000
1790012,Brand 126,Peugeot,Model 2004,2012,Variant 12314,1.6,2,23/04/2021,5000
1790014,Brand 126,Peugeot,Model 2004,2011,Variant 12314,1.6,2,23/04/2021,5000
1790028,Brand 63,Honda,Model 712,2015,Variant 4027,1.8,2,23/04/2021,50000
1790030,Brand 121,Nissan,Model 1903,2003,Variant 11425,2.5,2,23/04/2021,4500
1790070,Brand 124,Perodua,Model 1959,2005,Variant 11746,1,2,23/04/2021,7500
1790076,Brand 63,Honda,Model 676,2018,Variant 3636,1.8,2,23/04/2021,80600
1790087,Brand 63,Honda,Model 677,2015,Variant 3677,2,2,23/04/2021,73800
1790135,Brand 102,Mazda,Model 1271,2008,Variant 6747,2,2,23/04/2021,20000
1790136,Brand 142,Suzuki,Model 2277,2012,Variant 14355,1.5,2,23/04/2021,15000
1790166,Brand 63,Honda,Model 712,2016,Variant 4026,1.8,2,23/04/2021,55000
1790169,Brand 121,Nissan,Model 1891,2014,Variant 11263,2.5,2,23/04/2021,50000
1790212,Brand 124,Perodua,Model 1958,2001,Variant 11738,0.8,2,23/04/2021,3900
1790216,Brand 149,Toyota,Model 2395,2018,Variant 15420,2,2,23/04/2021,77000
1790217,Brand 73,Isuzu,Model 926,2009,Variant 5260,3,2,23/04/2021,19000
1790277,Brand 124,Perodua,Model 1956,2016,Variant 11703,1.3,2,23/04/2021,23000
